old_value,new_value
57,SAC-50000
494,SAC-50001
2091,SAC-50002
3465,SAC-50003
4009,SAC-50004
4146,SAC-50005
4343,SAC-50006
5981,SAC-50007
6328,SAC-50008
7000,SAC-50009
8000,SAC-50010
8304,SAC-50011
9366,SAC-50012
9662,SAC-50013
9863,SAC-50014
9864,SAC-50015
10000,SAC-50016
100400,SAC-50017
100467,SAC-50018
101507,SAC-50019
101685,SAC-50020
101850,SAC-50021
105093,SAC-50022
105207,SAC-50023
106757,SAC-50024
106913,SAC-50025
106941,SAC-50026
107199,SAC-50027
210243,SAC-50028
907000,SAC-50029
908000,SAC-50030
910000,SAC-50031
2,SAC-50032
3,SAC-50033
4,SAC-50034
5,SAC-50035
6,SAC-50036
7,SAC-50037
8,SAC-50038
9,SAC-50039
10,SAC-50040
11,SAC-50041
12,SAC-50042
13,SAC-50043
15,SAC-50044
16,SAC-50045
17,SAC-50046
18,SAC-50047
19,SAC-50048
20,SAC-50049
21,SAC-50050
22,SAC-50051
23,SAC-50052
24,SAC-50053
25,SAC-50054
26,SAC-50055
27,SAC-50056
28,SAC-50057
29,SAC-50058
30,SAC-50059
31,SAC-50060
32,SAC-50061
33,SAC-50062
34,SAC-50063
35,SAC-50064
36,SAC-50065
37,SAC-50066
38,SAC-50067
39,SAC-50068
40,SAC-50069
41,SAC-50070
42,SAC-50071
44,SAC-50072
45,SAC-50073
48,SAC-50074
49,SAC-50075
50,SAC-50076
55,SAC-50077
56,SAC-50078
58,SAC-50079
62,SAC-50080
64,SAC-50081
65,SAC-50082
73,SAC-50083
74,SAC-50084
75,SAC-50085
77,SAC-50086
79,SAC-50087
81,SAC-50088
84,SAC-50089
96,SAC-50090
102,SAC-50091
124,SAC-50092
125,SAC-50093
132,SAC-50094
133,SAC-50095
135,SAC-50096
136,SAC-50097
137,SAC-50098
140,SAC-50099
146,SAC-50100
147,SAC-50101
148,SAC-50102
149,SAC-50103
150,SAC-50104
154,SAC-50105
160,SAC-50106
165,SAC-50107
169,SAC-50108
170,SAC-50109
171,SAC-50110
172,SAC-50111
173,SAC-50112
175,SAC-50113
176,SAC-50114
179,SAC-50115
181,SAC-50116
183,SAC-50117
186,SAC-50118
187,SAC-50119
188,SAC-50120
191,SAC-50121
195,SAC-50122
196,SAC-50123
197,SAC-50124
198,SAC-50125
199,SAC-50126
200,SAC-50127
202,SAC-50128
203,SAC-50129
204,SAC-50130
206,SAC-50131
208,SAC-50132
210,SAC-50133
213,SAC-50134
214,SAC-50135
215,SAC-50136
216,SAC-50137
217,SAC-50138
218,SAC-50139
219,SAC-50140
220,SAC-50141
224,SAC-50142
225,SAC-50143
226,SAC-50144
227,SAC-50145
228,SAC-50146
230,SAC-50147
232,SAC-50148
236,SAC-50149
237,SAC-50150
239,SAC-50151
240,SAC-50152
241,SAC-50153
243,SAC-50154
244,SAC-50155
245,SAC-50156
246,SAC-50157
248,SAC-50158
249,SAC-50159
252,SAC-50160
253,SAC-50161
254,SAC-50162
255,SAC-50163
256,SAC-50164
257,SAC-50165
259,SAC-50166
262,SAC-50167
263,SAC-50168
265,SAC-50169
266,SAC-50170
268,SAC-50171
